model,elpd_diff,se_diff,elpd_loo,se_elpd_loo,p_loo,se_p_loo,looic,se_looic
a1_w2_dnorm,0,0,992.407349613141,25.2155337106246,7.9492755472013,2.53236891733633,-1984.81469922628,50.4310674212493
a2_w2_dnorm,-1.72335622432862,1.29992145967093,990.683993388814,25.5962283974426,8.76883806284637,2.52608590333261,-1981.36798677763,51.1924567948851
a1_w2_dexp,-6.491385561473,3.18396780893023,985.915964051669,26.0280877381115,6.88474890869143,2.04506444435309,-1971.83192810334,52.056175476223
a2_w2_dexp,-7.55134663333155,3.23530879844155,984.856002979809,26.3354364154221,7.60515937552629,2.10566910606086,-1969.71200595962,52.6708728308442
a2_w0_dnorm,-23.6628966302364,12.5231889320782,968.744452982904,25.8042223405933,3.26002445290321,0.611482429488378,-1937.48890596581,51.6084446811866
a2_w0_dexp,-26.1570402795527,12.650974976988,966.250309333588,26.3657972352511,3.27923932874511,0.673192452929803,-1932.50061866718,52.7315944705021
a1_w0_dnorm,-29.3836175720934,13.7570169174841,963.023732041048,24.9195969994442,2.86022565466592,0.505993171718726,-1926.0474640821,49.8391939988885
a1_w0_dexp,-32.4335236961406,14.4121514210718,959.973825917001,25.4671150444083,2.8072354516418,0.553576933507565,-1919.947651834,50.9342300888165
a2_w1_dnorm,-41.0688341262022,13.0866319838429,951.338515486936,32.0585389157408,6.62927576561885,1.2393028920322,-1902.67703097387,64.1170778314816
a2_w1_dexp,-49.6183638157668,11.6181236891577,942.788985797373,31.9070754873957,7.53429517199145,1.64195956973517,-1885.57797159475,63.8141509747914
a1_w1_dexp,-75.1121311382866,13.7665443350119,917.295218474854,33.8506657932476,5.30974732916267,1.20945362327943,-1834.59043694971,67.7013315864951
a1_w1_dnorm,-80.5669650297554,14.5818148590813,911.840384583386,34.7069646918819,8.09671515642844,1.62642709494376,-1823.68076916677,69.4139293837638
